epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,173.074,1.53075,2.53016,1.19082,0.48049,0.48181,0.44679,0.24943,1.43419,2.07075,1.12695,0.000551962,0.000551962,0.000551962
2,338.129,1.43656,1.74972,1.14887,0.50671,0.67911,0.58471,0.32693,1.4436,1.70271,1.20124,0.000997974,0.000997974,0.000997974
3,502.486,1.40526,1.59828,1.14479,0.55977,0.63799,0.61241,0.34571,1.44727,1.49361,1.1936,0.00133396,0.00133396,0.00133396
4,677.934,1.39914,1.45422,1.1421,0.63081,0.72677,0.68188,0.38046,1.44882,1.34529,1.17462,0.0011719,0.0011719,0.0011719
5,1055.41,1.36585,1.35021,1.12838,0.65085,0.72857,0.70999,0.40503,1.3954,1.24348,1.12794,0.00100687,0.00100687,0.00100687
6,1189.81,1.36005,1.26843,1.11553,0.59883,0.69883,0.7028,0.41896,1.36621,1.25352,1.12115,0.000841835,0.000841835,0.000841835
7,1371.34,1.31231,1.17942,1.09863,0.69333,0.74348,0.74632,0.44134,1.33029,1.12488,1.10471,0.000676802,0.000676802,0.000676802
8,1522.74,1.30562,1.09222,1.08957,0.74422,0.70447,0.75833,0.4358,1.37491,1.14771,1.12458,0.000511769,0.000511769,0.000511769
9,1839.99,1.28113,1.06002,1.07725,0.71305,0.76622,0.76076,0.43887,1.3639,1.10307,1.12102,0.000346736,0.000346736,0.000346736
10,2052.66,1.24976,1.00065,1.05411,0.69498,0.77915,0.78635,0.48437,1.30892,1.01771,1.08802,0.000181703,0.000181703,0.000181703
